Enki ID,Date d'échantillonage,Identification,Type échantillon,Depth (m),MC total Analyses,Résultat MC total,ET Variance,(LOD < x < LOQ),SD (LOD < x < LOQ),MC Ind Analyses,CYN,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),ANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-RR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-YR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HtyR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),dmMC-LR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-HiIR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-WR,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LA,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LY,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LW,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),MC-LF,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),HANA-a,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-A,SD,(LOD < x < LOQ),SD (LOD < x < LOQ),AP-B,SD,(LOD < x < LOQ),SD (LOD < x < LOQ)
26002,2019-08-15,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,9246.3,294.2,,,2020-08-31,<135,,<41,,<59,,<18,,<17,,<5,,83.2,18.4,,,75.7,8.4,,,<88,,<27,,8694.5,63.9,,,80,2.8,<9,,383.1,40.5,,,<123,,<37,,,,12.3,1.8,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,236.9,36.9,,
26002,2019-08-15,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,1334.1,54.5,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,198.5,11.5,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26002,2019-08-15,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,7931.3,727.2,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,81,4.6,,,79.5,20,,,<4,,<1,,7663.8,473,,,88.5,1.8,,,341,24.7,,,<5,,<1,,13.6,2.8,,,25.2,1.8,,,17.6,0.3,,,6.1,1.2,,,<2,,<1,,<3,,<1,,201.7,33.2,,
26005,2019-08-21,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2021-01-17,3964.2,477.6,,,2021-01-27,<135,,<41,,<59,,<18,,<17,,<5,,52.2,2.2,,,105.9,8.6,,,<88,,<27,,1781.9,43.9,,,62.6,9.4,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,73.6,5.1,,,194.8,20.9,,
26005,2019-08-21,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,2115.3,16,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,180.4,12.7,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26005,2019-08-21,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,1995.4,73.4,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,32.8,23.5,,,103.7,7.7,,,<4,,<1,,1358.2,29,,,57.3,0.6,,,<2,,<1,,,,4.7,0.5,3.7,0.4,,,30.4,0.9,,,37.1,3.4,,,13.1,0.9,,,<2,,<1,,36.4,6.8,,,172.2,10.7,,
26008,2019-08-30,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,1683.6,102.8,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,633,36.7,,,,,15.8,1.1,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,196,8.3,,,114,9.1,,
26008,2019-08-30,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,1233.1,12.2,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,,,46.3,8,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26008,2019-08-30,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,652.1,50.8,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,3.5,0.5,,,10.8,4.4,,,<4,,<1,,489.4,1.8,,,15.9,0.5,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,180.3,5.4,,,104.8,6,,
26011,2019-09-03,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,1179.3,34.1,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,368.1,18.1,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,235.8,45.7,,,142,0.7,,
26011,2019-09-03,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-19,926.5,28.9,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26011,2019-09-03,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,646.9,19.6,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,4.2,2.3,,,10.8,1.8,,,<4,,<1,,390.9,7.8,,,11.4,2.1,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,196.5,18.9,,,118.5,2.2,,
26014,2019-09-13,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,778.3,13.3,,,2020-08-31,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,160.9,5.9,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,265.8,64.8,,,217.7,26.3,,
26014,2019-09-13,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-19,633.7,11.5,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26014,2019-09-13,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-07-24,253.3,19,,,2020-07-21,<5,,<2,,<2,,<1,,<1,,<1,,<1,,<1,,1.6,0.8,,,<4,,<1,,113,16.6,,,1.5,0.7,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,<1,,<1,,<1,,<1,,<2,,<1,,284,1.3,,,170.5,2.1,,
26017,2019-09-17,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,653.8,39.4,,,2020-08-31,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,74,18.8,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,533.8,51.3,,,253.3,22.8,,
26017,2019-09-17,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-14,633.7,17,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26017,2019-09-17,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2020-08-03,99.7,10.8,,,2020-07-21,<5,,<2,,5.6,0.8,,,<1,,<1,,,,1.4,0.2,<1,,<1,,<4,,<1,,82.4,14,,,2.3,0.2,,,<2,,<1,,<5,,<1,,,,0.9,0.6,<4,,<1,,3.4,1.7,,,<1,,<1,,<2,,<1,,458.6,5.9,,,303.3,13.2,,
26020,2019-09-26,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,549.9,68.9,,,2021-01-27,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,62.7,3.8,,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,424.1,40,,,295.9,21.9,,
26020,2019-09-26,Buffalo Pound (UofS)-Extracellulaire,Extra (filtrat),0.8,2020-08-10,494.3,0.3,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,<67,,<20,,<19,,<6,
26020,2019-09-26,Buffalo Pound (UofS)-Intracellulaire,Intra (filtre),0.8,2021-01-27,141,22.7,,,2020-07-21,<5,,<2,,5,1.4,,,<1,,<1,,<1,,<1,,12.2,3.3,,,<4,,<1,,85.2,0.5,,,4,0.5,,,<2,,<1,,<5,,<1,,<1,,<1,,<4,,<1,,3.5,0.1,,,<1,,<1,,<2,,<1,,343,58.4,,,280.9,43.2,,
16588,2019-10-03,Buffalo Pound (UofS)-Non_filtré,Non_filtré,0.8,2020-08-14,507,56.7,,,2020-09-21,<135,,<41,,<59,,<18,,<17,,<5,,<37,,<11,,<34,,<10,,<88,,<27,,<49,,<15,,<30,,<9,,<45,,<14,,<123,,<37,,<32,,<10,,<97,,<29,,<27,,<8,,<31,,<12,,<39,,<12,,415,4.5,,,393.3,71.7,,
